year,code,clgname,branch,community,branchname,cutoff
2019,2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",BY,OC,Bio- Medical Engineering (SS),186.5
2019,2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",CM,OC,Computer Science and Engineering (SS),194.5
2019,2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",ES,OC,Electrical and Electronics (Sandwich) (SS),184
2019,2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",TT,OC,Textile Technology (SS),175
2019,2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",MF,OC,Mechanical Engg. (SS),189.5
2019,2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",MS,OC,Mechanical Engineering (Sandwich) (SS),184.5
2019,2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",PR,OC,Production Engineering,180
2019,2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",BS,OC,Bio Technology (SS),189
2019,2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",CN,OC,Civil Engineering (SS),185.5
2019,2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",AS,OC,Automobile Engineering (SS),180.75
2019,2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",PN,OC,Production Engineering (SS),178
2019,2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",PS,OC,Production Engineering (Sandwich) (SS),172.5
2019,2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",RA,OC,Robotics and Automation (SS),189
2019,2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",MT,OC,Metallurgical Engineering,181.5
2019,2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",TX,OC,Textile Technology,182
2019,2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",EE,OC,Electrical and Electronics Engineering,191.5
2019,2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",EC,OC,Electronics and Communication Engineering,195.5
2019,2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",IM,OC,Information Tech. (SS),191
2019,2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",EM,OC,Electronics and Communication Engg. (SS),192.25
2019,2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",FY,OC,Fashion Technology (SS),177.5
2019,2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",ME,OC,Mechanical Engineering,192
2019,2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",CE,OC,Civil Engineering,188.5
2019,2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",MY,OC,Metallurgical Engg. (SS),178
2019,2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",IY,OC,Instrumentation and Control Engineering (SS),184
2019,2007,"Coimbatore Institute of Technology (Autonomous), Civil Aerodrome Post, Coimbatore District 641014",IM,OC,Information Tech. (SS),187.5
2019,2007,"Coimbatore Institute of Technology (Autonomous), Civil Aerodrome Post, Coimbatore District 641014",CN,OC,Civil Engineering (SS),174.5
2019,2007,"Coimbatore Institute of Technology (Autonomous), Civil Aerodrome Post, Coimbatore District 641014",EC,OC,Electronics and Communication Engineering,189.5
2019,2007,"Coimbatore Institute of Technology (Autonomous), Civil Aerodrome Post, Coimbatore District 641014",MF,OC,Mechanical Engg. (SS),183.5
2019,2007,"Coimbatore Institute of Technology (Autonomous), Civil Aerodrome Post, Coimbatore District 641014",CE,OC,Civil Engineering,183
2019,2007,"Coimbatore Institute of Technology (Autonomous), Civil Aerodrome Post, Coimbatore District 641014",CL,OC,Chemical Engineering (SS),182
2019,2007,"Coimbatore Institute of Technology (Autonomous), Civil Aerodrome Post, Coimbatore District 641014",EY,OC,Elec. And Electronics Engg (SS),185.5
2019,2007,"Coimbatore Institute of Technology (Autonomous), Civil Aerodrome Post, Coimbatore District 641014",EE,OC,Electrical and Electronics Engineering,187.5
2019,2007,"Coimbatore Institute of Technology (Autonomous), Civil Aerodrome Post, Coimbatore District 641014",EM,OC,Electronics and Communication Engg. (SS),188
2019,2007,"Coimbatore Institute of Technology (Autonomous), Civil Aerodrome Post, Coimbatore District 641014",CH,OC,Chemical Engineering,184.5
2019,2007,"Coimbatore Institute of Technology (Autonomous), Civil Aerodrome Post, Coimbatore District 641014",ME,OC,Mechanical Engineering,186.5
2019,2007,"Coimbatore Institute of Technology (Autonomous), Civil Aerodrome Post, Coimbatore District 641014",CS,OC,Computer Science and Engineering,190
2019,2007,"Coimbatore Institute of Technology (Autonomous), Civil Aerodrome Post, Coimbatore District 641014",CM,OC,Computer Science and Engineering (SS),189.5
2019,1315,"Sri Sivasubramaniya Nadar College of Engineering (Autonomous), Kalavakkam, Old Mahabalipuram Road (OMR), Kancheepuram District 603110",CE,OC,Civil Engineering,183.5
2019,1315,"Sri Sivasubramaniya Nadar College of Engineering (Autonomous), Kalavakkam, Old Mahabalipuram Road (OMR), Kancheepuram District 603110",BM,OC,Bio- Medical Engineering,188
2019,1315,"Sri Sivasubramaniya Nadar College of Engineering (Autonomous), Kalavakkam, Old Mahabalipuram Road (OMR), Kancheepuram District 603110",CH,OC,Chemical Engineering,187
2019,1315,"Sri Sivasubramaniya Nadar College of Engineering (Autonomous), Kalavakkam, Old Mahabalipuram Road (OMR), Kancheepuram District 603110",CS,OC,Computer Science and Engineering,193
2019,1315,"Sri Sivasubramaniya Nadar College of Engineering (Autonomous), Kalavakkam, Old Mahabalipuram Road (OMR), Kancheepuram District 603110",EE,OC,Electrical and Electronics Engineering,190
2019,1315,"Sri Sivasubramaniya Nadar College of Engineering (Autonomous), Kalavakkam, Old Mahabalipuram Road (OMR), Kancheepuram District 603110",ME,OC,Mechanical Engineering,189
2019,1315,"Sri Sivasubramaniya Nadar College of Engineering (Autonomous), Kalavakkam, Old Mahabalipuram Road (OMR), Kancheepuram District 603110",EC,OC,Electronics and Communication Engineering,190.5
2019,1315,"Sri Sivasubramaniya Nadar College of Engineering (Autonomous), Kalavakkam, Old Mahabalipuram Road (OMR), Kancheepuram District 603110",IT,OC,Information Technology,190
2019,2712,"Kumaraguru College of Technology (Autonomous), Chinnavedampatti Post, Coimbatore District 641006",BT,OC,Bio Technology,180.25
2019,2712,"Kumaraguru College of Technology (Autonomous), Chinnavedampatti Post, Coimbatore District 641006",FT,OC,Fashion Technology,157
2019,2712,"Kumaraguru College of Technology (Autonomous), Chinnavedampatti Post, Coimbatore District 641006",CE,OC,Civil Engineering,168
2019,2712,"Kumaraguru College of Technology (Autonomous), Chinnavedampatti Post, Coimbatore District 641006",EC,OC,Electronics and Communication Engineering,185.5
2019,2712,"Kumaraguru College of Technology (Autonomous), Chinnavedampatti Post, Coimbatore District 641006",EI,OC,Electronics and Instrumentation Engineering,176.5
2019,2712,"Kumaraguru College of Technology (Autonomous), Chinnavedampatti Post, Coimbatore District 641006",ME,OC,Mechanical Engineering,176
2019,2712,"Kumaraguru College of Technology (Autonomous), Chinnavedampatti Post, Coimbatore District 641006",MC,OC,Mechatronics,177.25
2019,2712,"Kumaraguru College of Technology (Autonomous), Chinnavedampatti Post, Coimbatore District 641006",CS,OC,Computer Science and Engineering,187
2019,2712,"Kumaraguru College of Technology (Autonomous), Chinnavedampatti Post, Coimbatore District 641006",AU,OC,Automobile Engineering,169
2019,2712,"Kumaraguru College of Technology (Autonomous), Chinnavedampatti Post, Coimbatore District 641006",IG,OC,Information Science and Engineering,178
2019,2712,"Kumaraguru College of Technology (Autonomous), Chinnavedampatti Post, Coimbatore District 641006",EE,OC,Electrical and Electronics Engineering,181.5
2019,2712,"Kumaraguru College of Technology (Autonomous), Chinnavedampatti Post, Coimbatore District 641006",AE,OC,Aeronautical Engineering,175
2019,2712,"Kumaraguru College of Technology (Autonomous), Chinnavedampatti Post, Coimbatore District 641006",TX,OC,Textile Technology,161
2019,2712,"Kumaraguru College of Technology (Autonomous), Chinnavedampatti Post, Coimbatore District 641006",IT,OC,Information Technology,185
2019,2702,"Bannari Amman Institute of Technology (Autonomous), Sathyamanagalam, Erode District 638401",CB,OC,Computer Science and Business System,164
2019,2702,"Bannari Amman Institute of Technology (Autonomous), Sathyamanagalam, Erode District 638401",BT,OC,Bio Technology,161
2019,2702,"Bannari Amman Institute of Technology (Autonomous), Sathyamanagalam, Erode District 638401",EC,OC,Electronics and Communication Engineering,169.5
2019,2702,"Bannari Amman Institute of Technology (Autonomous), Sathyamanagalam, Erode District 638401",BM,OC,Bio- Medical Engineering,157.5
2019,2702,"Bannari Amman Institute of Technology (Autonomous), Sathyamanagalam, Erode District 638401",CS,OC,Computer Science and Engineering,176.75
2019,2702,"Bannari Amman Institute of Technology (Autonomous), Sathyamanagalam, Erode District 638401",FD,OC,Food Technology,153.5
2019,2702,"Bannari Amman Institute of Technology (Autonomous), Sathyamanagalam, Erode District 638401",FT,OC,Fashion Technology,135.5
2019,2702,"Bannari Amman Institute of Technology (Autonomous), Sathyamanagalam, Erode District 638401",AG,OC,Agriculture Engineering,167.5
2019,2702,"Bannari Amman Institute of Technology (Autonomous), Sathyamanagalam, Erode District 638401",IG,OC,Information Science and Engineering,154.5
2019,2702,"Bannari Amman Institute of Technology (Autonomous), Sathyamanagalam, Erode District 638401",TX,OC,Textile Technology,142
2019,2702,"Bannari Amman Institute of Technology (Autonomous), Sathyamanagalam, Erode District 638401",ME,OC,Mechanical Engineering,149
2019,2702,"Bannari Amman Institute of Technology (Autonomous), Sathyamanagalam, Erode District 638401",AU,OC,Automobile Engineering,131.5
2019,2702,"Bannari Amman Institute of Technology (Autonomous), Sathyamanagalam, Erode District 638401",EE,OC,Electrical and Electronics Engineering,161
2019,2702,"Bannari Amman Institute of Technology (Autonomous), Sathyamanagalam, Erode District 638401",EI,OC,Electronics and Instrumentation Engineering,142.5
2019,2702,"Bannari Amman Institute of Technology (Autonomous), Sathyamanagalam, Erode District 638401",MC,OC,Mechatronics,144.5
2019,2702,"Bannari Amman Institute of Technology (Autonomous), Sathyamanagalam, Erode District 638401",CE,OC,Civil Engineering,144.5
2019,2702,"Bannari Amman Institute of Technology (Autonomous), Sathyamanagalam, Erode District 638401",CT,OC,Computer Technology,154.5
2019,2702,"Bannari Amman Institute of Technology (Autonomous), Sathyamanagalam, Erode District 638401",AE,OC,Aeronautical Engineering,143
2019,2702,"Bannari Amman Institute of Technology (Autonomous), Sathyamanagalam, Erode District 638401",IT,OC,Information Technology,168.5
2019,2711,"Kongu Engineering College (Autonomous), Perundurai, Erode District 638052",AU,OC,Automobile Engineering,135
2019,2711,"Kongu Engineering College (Autonomous), Perundurai, Erode District 638052",EC,OC,Electronics and Communication Engineering,175
2019,2711,"Kongu Engineering College (Autonomous), Perundurai, Erode District 638052",MC,OC,Mechatronics,155.5
2019,2711,"Kongu Engineering College (Autonomous), Perundurai, Erode District 638052",EI,OC,Electronics and Instrumentation Engineering,153
2019,2711,"Kongu Engineering College (Autonomous), Perundurai, Erode District 638052",EE,OC,Electrical and Electronics Engineering,169
2019,2711,"Kongu Engineering College (Autonomous), Perundurai, Erode District 638052",CE,OC,Civil Engineering,115
2019,2711,"Kongu Engineering College (Autonomous), Perundurai, Erode District 638052",CS,OC,Computer Science and Engineering,178.5
2019,2711,"Kongu Engineering College (Autonomous), Perundurai, Erode District 638052",ME,OC,Mechanical Engineering,152.5
2019,2711,"Kongu Engineering College (Autonomous), Perundurai, Erode District 638052",CH,OC,Chemical Engineering,161.5
2019,2711,"Kongu Engineering College (Autonomous), Perundurai, Erode District 638052",FD,OC,Food Technology,169
2019,2711,"Kongu Engineering College (Autonomous), Perundurai, Erode District 638052",IT,OC,Information Technology,173
2019,1216,"Saveetha Engineering College (Autonomous), Thandalam, Sriperumpudur Taluk, Kancheepuram District 602105",CH,OC,Chemical Engineering,125.5
2019,1216,"Saveetha Engineering College (Autonomous), Thandalam, Sriperumpudur Taluk, Kancheepuram District 602105",MD,OC,Medical Electronics Engg.,118
2019,1216,"Saveetha Engineering College (Autonomous), Thandalam, Sriperumpudur Taluk, Kancheepuram District 602105",CE,OC,Civil Engineering,87.5
2019,1216,"Saveetha Engineering College (Autonomous), Thandalam, Sriperumpudur Taluk, Kancheepuram District 602105",EC,OC,Electronics and Communication Engineering,123.5
2019,1216,"Saveetha Engineering College (Autonomous), Thandalam, Sriperumpudur Taluk, Kancheepuram District 602105",BM,OC,Bio- Medical Engineering,158
2019,1216,"Saveetha Engineering College (Autonomous), Thandalam, Sriperumpudur Taluk, Kancheepuram District 602105",ME,OC,Mechanical Engineering,93
2019,1216,"Saveetha Engineering College (Autonomous), Thandalam, Sriperumpudur Taluk, Kancheepuram District 602105",AG,OC,Agriculture Engineering,143.5
2019,1216,"Saveetha Engineering College (Autonomous), Thandalam, Sriperumpudur Taluk, Kancheepuram District 602105",CS,OC,Computer Science and Engineering,155.5
2019,1216,"Saveetha Engineering College (Autonomous), Thandalam, Sriperumpudur Taluk, Kancheepuram District 602105",EI,OC,Electronics and Instrumentation Engineering,90.5
2019,1216,"Saveetha Engineering College (Autonomous), Thandalam, Sriperumpudur Taluk, Kancheepuram District 602105",EE,OC,Electrical and Electronics Engineering,115
2019,1216,"Saveetha Engineering College (Autonomous), Thandalam, Sriperumpudur Taluk, Kancheepuram District 602105",IT,OC,Information Technology,145
2019,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CE,OC,Civil Engineering,189.75
2019,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",XM,OC,Mechanical Engineering (Tamil Medium),176
2019,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",MN,OC,Manufacturing Engineering,184
2019,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",MN,OC,Manufacturing Engineering,184
2019,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",MA,OC,Material Science and Engineering (SS),183
2019,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CS,OC,Computer Science and Engineering,198
2019,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",IE,OC,Industrial Engineering,185
2019,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",EE,OC,Electrical and Electronics Engineering,195
2019,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",ME,OC,Mechanical Engineering,192.5
2019,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",MI,OC,Mining Engineering,187
2019,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",GI,OC,Geo-Informatics,187.5
2019,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CM,OC,Computer Science and Engineering (SS),195
2019,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",XC,OC,Civil Engineering (Tamil Medium),175.75
2019,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",EM,OC,Electronics and Communication Engg. (SS),193.33
2019,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",BY,OC,Bio- Medical Engineering (SS),192
2019,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",EC,OC,Electronics and Communication Engineering,196.75
2019,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",PT,OC,Printing and Packaging Technology,180.5
2019,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",IM,OC,Information Tech. (SS),192.5
2019,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Kancheepuram District 600 044",EC,OC,Electronics and Communication Engineering,193.5
2019,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Kancheepuram District 600 044",AS,OC,Automobile Engineering (SS),183.5
2019,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Kancheepuram District 600 044",AE,OC,Aeronautical Engineering,192
2019,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Kancheepuram District 600 044",AU,OC,Automobile Engineering,187.5
2019,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Kancheepuram District 600 044",EI,OC,Electronics and Instrumentation Engineering,190
2019,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Kancheepuram District 600 044",CM,OC,Computer Science and Engineering (SS),193
2019,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Kancheepuram District 600 044",EM,OC,Electronics and Communication Engg. (SS),191
2019,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Kancheepuram District 600 044",CS,OC,Computer Science and Engineering,194.5
2019,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Kancheepuram District 600 044",RP,OC,Rubber and Plastic Tech.,178
2019,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Kancheepuram District 600 044",IM,OC,Information Tech. (SS),190
2019,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Kancheepuram District 600 044",MF,OC,Mechanical Engg. (SS),190
2019,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Kancheepuram District 600 044",PR,OC,Production Engineering,184
2019,1116,"Sri Venkateswara College of Engineering and Technology, Thirupachur, Thiruvallur District 631203",CS,OC,Computer Science and Engineering,115.5
2019,1116,"Sri Venkateswara College of Engineering and Technology, Thirupachur, Thiruvallur District 631203",EC,OC,Electronics and Communication Engineering,80
2019,1116,"Sri Venkateswara College of Engineering and Technology, Thirupachur, Thiruvallur District 631203",CE,OC,Civil Engineering,81.5
2019,1116,"Sri Venkateswara College of Engineering and Technology, Thirupachur, Thiruvallur District 631203",ME,OC,Mechanical Engineering,80
2019,1116,"Sri Venkateswara College of Engineering and Technology, Thirupachur, Thiruvallur District 631203",EE,OC,Electrical and Electronics Engineering,81
2019,1211,"Rajalakshmi Engineering College (Autonomous), Thandalam, Sriperumpudur Taluk, Kancheepuram District 602105",BT,OC,Bio Technology,165
2019,1211,"Rajalakshmi Engineering College (Autonomous), Thandalam, Sriperumpudur Taluk, Kancheepuram District 602105",CB,OC,Computer Science and Business System,169.5
2019,1211,"Rajalakshmi Engineering College (Autonomous), Thandalam, Sriperumpudur Taluk, Kancheepuram District 602105",CH,OC,Chemical Engineering,164
2019,1211,"Rajalakshmi Engineering College (Autonomous), Thandalam, Sriperumpudur Taluk, Kancheepuram District 602105",ME,OC,Mechanical Engineering,151.5
2019,1211,"Rajalakshmi Engineering College (Autonomous), Thandalam, Sriperumpudur Taluk, Kancheepuram District 602105",ME,OC,Mechanical Engineering,151.5
2019,1211,"Rajalakshmi Engineering College (Autonomous), Thandalam, Sriperumpudur Taluk, Kancheepuram District 602105",EC,OC,Electronics and Communication Engineering,170.75
2019,1211,"Rajalakshmi Engineering College (Autonomous), Thandalam, Sriperumpudur Taluk, Kancheepuram District 602105",BM,OC,Bio- Medical Engineering,171
2019,1211,"Rajalakshmi Engineering College (Autonomous), Thandalam, Sriperumpudur Taluk, Kancheepuram District 602105",CS,OC,Computer Science and Engineering,178
2019,1211,"Rajalakshmi Engineering College (Autonomous), Thandalam, Sriperumpudur Taluk, Kancheepuram District 602105",CE,OC,Civil Engineering,116.5
2019,1211,"Rajalakshmi Engineering College (Autonomous), Thandalam, Sriperumpudur Taluk, Kancheepuram District 602105",EE,OC,Electrical and Electronics Engineering,149.5
2019,1211,"Rajalakshmi Engineering College (Autonomous), Thandalam, Sriperumpudur Taluk, Kancheepuram District 602105",IT,OC,Information Technology,169.5
2019,1211,"Rajalakshmi Engineering College (Autonomous), Thandalam, Sriperumpudur Taluk, Kancheepuram District 602105",MC,OC,Mechatronics,161.5
2019,1211,"Rajalakshmi Engineering College (Autonomous), Thandalam, Sriperumpudur Taluk, Kancheepuram District 602105",AE,OC,Aeronautical Engineering,160
2019,1211,"Rajalakshmi Engineering College (Autonomous), Thandalam, Sriperumpudur Taluk, Kancheepuram District 602105",AU,OC,Automobile Engineering,134
2019,1211,"Rajalakshmi Engineering College (Autonomous), Thandalam, Sriperumpudur Taluk, Kancheepuram District 602105",FD,OC,Food Technology,161
2019,1210,"Panimalar Engineering College, Nazarethpet, Poonamallee, Chennai 602103",CS,OC,Computer Science and Engineering,173
2019,1210,"Panimalar Engineering College, Nazarethpet, Poonamallee, Chennai 602103",ME,OC,Mechanical Engineering,135.5
2019,1210,"Panimalar Engineering College, Nazarethpet, Poonamallee, Chennai 602103",EC,OC,Electronics and Communication Engineering,165.5
2019,1210,"Panimalar Engineering College, Nazarethpet, Poonamallee, Chennai 602103",EE,OC,Electrical and Electronics Engineering,149
2019,1210,"Panimalar Engineering College, Nazarethpet, Poonamallee, Chennai 602103",CE,OC,Civil Engineering,94.5
2019,1210,"Panimalar Engineering College, Nazarethpet, Poonamallee, Chennai 602103",IT,OC,Information Technology,161
2019,1210,"Panimalar Engineering College, Nazarethpet, Poonamallee, Chennai 602103",EI,OC,Electronics and Instrumentation Engineering,92
2019,1149,"St. Josephs Institute of Technology, Jeppiaar Nagar, Old Mahabalipuram Road (OMR), Chennai 600119",CE,OC,Civil Engineering,98
2019,1149,"St. Josephs Institute of Technology, Jeppiaar Nagar, Old Mahabalipuram Road (OMR), Chennai 600119",ME,OC,Mechanical Engineering,99.5
2019,1149,"St. Josephs Institute of Technology, Jeppiaar Nagar, Old Mahabalipuram Road (OMR), Chennai 600119",CS,OC,Computer Science and Engineering,160.75
2019,1149,"St. Josephs Institute of Technology, Jeppiaar Nagar, Old Mahabalipuram Road (OMR), Chennai 600119",IT,OC,Information Technology,148.5
2019,1149,"St. Josephs Institute of Technology, Jeppiaar Nagar, Old Mahabalipuram Road (OMR), Chennai 600119",EC,OC,Electronics and Communication Engineering,143
2019,1149,"St. Josephs Institute of Technology, Jeppiaar Nagar, Old Mahabalipuram Road (OMR), Chennai 600119",EE,OC,Electrical and Electronics Engineering,83.5
2019,1419,"Sri Sairam Enginering College, West Tambaram, Chennai 600044",EC,OC,Electronics and Communication Engineering,172
2019,1419,"Sri Sairam Enginering College, West Tambaram, Chennai 600044",IC,OC,Instrumentation and Control Engineering,150
2019,1419,"Sri Sairam Enginering College, West Tambaram, Chennai 600044",PR,OC,Production Engineering,143.5
2019,1419,"Sri Sairam Enginering College, West Tambaram, Chennai 600044",EE,OC,Electrical and Electronics Engineering,156
2019,1419,"Sri Sairam Enginering College, West Tambaram, Chennai 600044",IT,OC,Information Technology,164.5
2019,1419,"Sri Sairam Enginering College, West Tambaram, Chennai 600044",CS,OC,Computer Science and Engineering,182.5
2019,1419,"Sri Sairam Enginering College, West Tambaram, Chennai 600044",CE,OC,Civil Engineering,144
2019,1419,"Sri Sairam Enginering College, West Tambaram, Chennai 600044",ME,OC,Mechanical Engineering,150
2019,1419,"Sri Sairam Enginering College, West Tambaram, Chennai 600044",EI,OC,Electronics and Instrumentation Engineering,147.5
2019,5008,"Thiagarajar College of Engineering (Autonomous), Tirupparankundram, Madurai District 625015",EE,OC,Electrical and Electronics Engineering,187.5
2019,5008,"Thiagarajar College of Engineering (Autonomous), Tirupparankundram, Madurai District 625015",ME,OC,Mechanical Engineering,185
2019,5008,"Thiagarajar College of Engineering (Autonomous), Tirupparankundram, Madurai District 625015",EC,OC,Electronics and Communication Engineering,190
2019,5008,"Thiagarajar College of Engineering (Autonomous), Tirupparankundram, Madurai District 625015",CS,OC,Computer Science and Engineering,190.5
2019,5008,"Thiagarajar College of Engineering (Autonomous), Tirupparankundram, Madurai District 625015",CE,OC,Civil Engineering,183
2019,5008,"Thiagarajar College of Engineering (Autonomous), Tirupparankundram, Madurai District 625015",CM,OC,Computer Science and Engineering (SS),189
2019,5008,"Thiagarajar College of Engineering (Autonomous), Tirupparankundram, Madurai District 625015",EY,OC,Elec. And Electronics Engg (SS),184.5
2019,5008,"Thiagarajar College of Engineering (Autonomous), Tirupparankundram, Madurai District 625015",IM,OC,Information Tech. (SS),187
2019,5008,"Thiagarajar College of Engineering (Autonomous), Tirupparankundram, Madurai District 625015",MG,OC,Mechatronics (SS),181
2019,5008,"Thiagarajar College of Engineering (Autonomous), Tirupparankundram, Madurai District 625015",CN,OC,Civil Engineering (SS),177.5
2019,5008,"Thiagarajar College of Engineering (Autonomous), Tirupparankundram, Madurai District 625015",EM,OC,Electronics and Communication Engg. (SS),178.33
2019,5008,"Thiagarajar College of Engineering (Autonomous), Tirupparankundram, Madurai District 625015",MF,OC,Mechanical Engg. (SS),181.5
2019,2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",IT,OC,Information Technology,187
2019,2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",PR,OC,Production Engineering,175
2019,2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EE,OC,Electrical and Electronics Engineering,186.5
2019,2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EI,OC,Electronics and Instrumentation Engineering,182
2019,2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",IB,OC,Industrial Bio-Technology,177
2019,2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CS,OC,Computer Science and Engineering,190
2019,2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",EC,OC,Electronics and Communication Engineering,189
2019,2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",CE,OC,Civil Engineering,178
2019,2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",ME,OC,Mechanical Engineering,182
2018,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",AI,OC,AGRICULTURAL AND IRRIGATION ENGG.(SS),194.75
2018,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",BY,OC,BIO MEDICAL ENGG(SS),196.75
2018,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",CE,OC,CIVIL ENGINEERING,196.75
2018,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",XC,OC,CIVIL ENGINEERING - TAMIL MEDIUM,185.5
2018,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",CS,OC,COMPUTER SCIENCE AND ENGG.,199.5
2018,1,"UNIVERSITY DEPARTMENTS OF ANNA UNIVERSITY, CHENNAI - CEG CAMPUS,SARDAR PATEL ROAD, GUINDY,CHENNAI DIST, PIN - 600025.",CM,OC,COMPUTER SCIENCE AND ENGG.(SS),198.5
